content.js:72 73160, Cantina del Garda Bardolino DOC 2021, 7.99, Veneto, null
content.js:72 13476, Nero Oro Appassimento 202122 Sicily, 7.99, Terre Siciliane, 3.9
content.js:72 73100, Chosen by Majestic Valpolicella Superiore DOC 2020, 9.99, Valpolicella, null
content.js:72 73022, Primitivo Il Feudo 2021 Puglia, 6.99, Puglia, 2.8
content.js:72 13686, Langhe Nebbiolo 202021 De Forville Piedmont, 9.99, Langhe, 3.7
content.js:72 73012, Corallo Nero dAvola Organic 202021 Sicily, 7.99, Sicilia, 3.6
content.js:72 73800, Antica Vigna Valpolicella Ripasso DOC Superiore, 11.99, Valpolicella Ripasso, 3.8
content.js:72 13582, Primo Rosso Appassimento 202122 Puglia, 8.99, Puglia, 4.1
content.js:72 73010, Castello di Meleto San Pietro Chianti Classico DOCG 202021, 11.99, Chianti Classico, null
content.js:72 13912, Nero Oro Riserva 201819 Sicily, 11.99, Terre Siciliane, 3.9
content.js:72 73250, Piccini Histrio Organic Anfora Toscana Rosso 2020, 9.99, Toscana, 3.6
content.js:72 13266, Surani Pietrariccia Fiano 202122 Puglia, 8.99, Puglia, 3.8
content.js:72 73220, Beato Bartolomeo Naturae Pinot Noir 2021 Veneto, 8.99, Veneto, null
content.js:72 13937, Polvanera Organic Primitivo 202122 Marchesana, 9.99, Primitivo di Manduria, 3.9
content.js:72 97333, Ippolito Cir Rosso DOC Calabria Italy, 10.99, Calabria, null
content.js:72 13018, Dogajolo Carpineto 201920 Toscana, 9.99, Toscana, 3.7
content.js:72 13434, Definition Chianti Classico DOCG 201920, 9.99, Chianti Classico, 3.6
content.js:72 13073, Surani Costarossa Primitivo di Manduria DOC 202021, 10.99, Primitivo di Manduria, 3.9
content.js:72 13488, Pasqua Desire Lush  Zin Primitivo 202122 Puglia, 9.99, Puglia, 4.2
content.js:72 13178, Pasqua PassioneSentimento Passimento Rosso 202021 Veneto, 9.99, Veneto, 3.9
content.js:72 13513, Domodo Negroamaro 202122 Puglia, 7.99, Puglia, 3.7
content.js:72 73033, Cantina Castelnuovo CaVegar 201920 Valpolicella Superiore DOC, 7.99, Valpolicella Ripasso Classico, 3.8
content.js:72 13552, Araldica Barbera dAsti DOCG 201920 Italy, 7.99, Barbera d&#39;Asti, 3.5
content.js:72 13494, Ammazza Montepulciano 202021, 7.99, Toscana, 3.4
content.js:72 97270, Antichi Poderi Cannonau di Sardegna DOC 2020, 12.99, Cannonau di Sardegna, 3.4
content.js:72 13850, Montepulciano dAbruzzo 202021 Masciarelli, 9.99, Montepulciano d&#39;Abruzzo, 3.7
content.js:72 97328, Marco Zanatta Cannonau di Sardegna DOC Italy, 11.99, Cannonau di Sardegna, 3.8
content.js:72 13934, Cecchi Governo Alluso Toscano 2020 Chianti DOCG, 8.99, Chianti, 3.8
content.js:72 13429, Villa Borghetti Valpolicella Ripasso 202021, 12.99, Valpolicella Ripasso, 3.9
content.js:72 13573, Negrar Appassimento Rosso Veneto 202122, 9.99, Veneto, 4.1
content.js:72 97326, Carlo Pellegrino Cardilla Frappato Sicily Italy, 8.99, Terre Siciliane, 3.7
content.js:72 97331, Saverio Faro Nero dAvola Sicilia DOC, 7.99, Sicilia, 3.6
content.js:72 73030, Tua Rita Tierre Merlot 2019 Tuscany, 14.99, Toscana, 3.7
content.js:72 97305, Polvanera P24 Organic Primitivo Gioia del Colle DOC Italy, 13.99, Gioia del Colle, 4
content.js:72 13987, Vino Nobile Di Montepuliciano 201718 Bonacchi Italy, 13.99, Vino Nobile di Montepulciano, 3.6
content.js:72 13932, Roberto Sarotto Barbaresco Riserva Curr 201617, 25.99, Barbaresco, 3.8
content.js:72 13168, Masi Campofiorin Rosso Veronese 201819, 12.99, Rosso Veronese, 3.7
content.js:72 13181, Tenuta dellOrnellaia Le Volte 202021 Tuscany, 24.99, Toscana, 3.9
content.js:72 97297, Cantina del Garda Valpolicella Ripasso DOC 2019, 12.99, Valpolicella Ripasso, 3.9
content.js:72 13952, Definition Barolo DOCG 201718, 18.99, Barolo, 4.2
content.js:72 73999, Antica Vigna Amarone della Valpolicella DOCG 201920, 17.99, Amarone della Valpolicella, 4
content.js:72 13867, La Serena Brunello di Montalcino 201617, 39.99, Brunello di Montalcino, 4.2
content.js:72 13675, Cantina Negrar Vigneti di Roccolo Amarone della Valpolicella 201819, 21.99, Amarone della Valpolicella Classico, 4.2
content.js:72 97255, Fidora Valpolicella Ripasso DOC Classico Superiore 2015, 16.99, Valpolicella Ripasso, 4
content.js:72 97317, Tenuta Ghiaccio Forte Ripaforte Maremma Italy, 29.99, Maremma Toscana, 3.8
content.js:72 13933, Grattamacco Organic Bolgheri Rosso DOC 201920, 17.99, Bolgheri, 3.9
content.js:72 13953, Marcarini Barolo del Comune di La Morra 201718 Italy, 28.99, Barolo, 4
content.js:72 13962, Castello Banfi Rosso di Montalcino DOC 201920, 16.99, Rosso di Montalcino, 3.7
content.js:72 13175, Villa Antinori Chianti Classico Riserva 201920, 24.99, Chianti Classico, 4
content.js:72 13910, Terre del Buontalenti 201819 Toscana, 14.99, Toscana, null
content.js:72 13596, Barbera DAlba Villa de Forville 202021, 12.99, Barbera d&#39;Alba, 3.8
content.js:72 13914, Agostina Pieri Brunello di Montalcino DOCG 201718, 28.99, Brunello di Montalcino, 4.2
content.js:72 73115, Piccini Brunello di Montalcino DOCG 2018, 27.99, Brunello di Montalcino, 4.1
