# 09/08/2023 https://www.majestic.co.uk/italian-red-wine?ishideoutofstock=1&pagesize=24&orderby=110&paginationtype=10
Product Name	Rating	Price	Region
Primitivo Il Feudo 2021 Puglia	2.80	6.99	Puglia
Corallo Nero dAvola Organic 202021 Sicily	3.60	7.99	Sicilia
Saverio Faro Nero dAvola Sicilia DOC	3.60	7.99	Sicilia
Ammazza Montepulciano 202021	3.40	7.99	Toscana
Domodo Negroamaro 202122 Puglia	3.70	7.99	Puglia
Araldica Barbera dAsti DOCG 201920 Italy	3.50	7.99	Barbera d&#39;Asti
Cantina Castelnuovo CaVegar 201920 Valpolicella Superiore DOC	3.80	7.99	Valpolicella Ripasso Classico
Nero Oro Appassimento 202122 Sicily	3.90	7.99	Terre Siciliane
Cantina del Garda Bardolino DOC 2021	N/A	7.99	Veneto
Carlo Pellegrino Cardilla Frappato Sicily Italy	3.70	8.99	Terre Siciliane
Cecchi Governo Alluso Toscano 2020 Chianti DOCG	3.80	8.99	Chianti
Surani Pietrariccia Fiano 202122 Puglia	3.80	8.99	Puglia
Primo Rosso Appassimento 202122 Puglia	4.10	8.99	Puglia
Dogajolo Carpineto 201920 Toscana	3.70	9.99	Toscana
Pasqua PassioneSentimento Passimento Rosso 202021 Veneto	3.90	9.99	Veneto
Chosen by Majestic Valpolicella Superiore DOC 2020	N/A	9.99	Valpolicella
Definition Chianti Classico DOCG 201920	3.60	9.99	Chianti Classico
Polvanera Organic Primitivo 202122 Marchesana	3.90	9.99	Primitivo di Manduria
Piccini Histrio Organic Anfora Toscana Rosso 2020	3.60	9.99	Toscana
Montepulciano dAbruzzo 202021 Masciarelli	3.70	9.99	Montepulciano d&#39;Abruzzo
Langhe Nebbiolo 202021 De Forville Piedmont	3.70	9.99	Langhe
Negrar Appassimento Rosso Veneto 202122	4.10	9.99	Veneto
Pasqua Desire Lush Zin Primitivo 202122 Puglia	4.20	9.99	Puglia
Surani Costarossa Primitivo di Manduria DOC 202021	3.90	10.99	Primitivo di Manduria
Ippolito Cir Rosso DOC Calabria Italy	N/A	10.99	Calabria
Nero Oro Riserva 201819 Sicily	3.90	11.99	Terre Siciliane
Marco Zanatta Cannonau di Sardegna DOC Italy	3.80	11.99	Cannonau di Sardegna
Antica Vigna Valpolicella Ripasso DOC Superiore	3.80	11.99	Valpolicella Ripasso
Castello di Meleto San Pietro Chianti Classico DOCG 202021	N/A	11.99	Chianti Classico
Villa Borghetti Valpolicella Ripasso 202021	3.90	12.99	Valpolicella Ripasso
Antichi Poderi Cannonau di Sardegna DOC 2020	3.40	12.99	Cannonau di Sardegna
Masi Campofiorin Rosso Veronese 201819	3.70	12.99	Rosso Veronese
Cantina del Garda Valpolicella Ripasso DOC 2019	3.90	12.99	Valpolicella Ripasso
Barbera DAlba Villa de Forville 202021	3.80	12.99	Barbera d&#39;Alba
Vino Nobile Di Montepuliciano 201718 Bonacchi Italy	3.60	13.99	Vino Nobile di Montepulciano
Polvanera P24 Organic Primitivo Gioia del Colle DOC Italy	4.00	13.99	Gioia del Colle
Tua Rita Tierre Merlot 2019 Tuscany	3.70	14.99	Toscana
Terre del Buontalenti 201819 Toscana	N/A	14.99	Toscana
Domini Veneti La Casetta Valpolicella Ripasso DOC Superiore 201819	4.20	15.99	Valpolicella Ripasso Classico
Castello Banfi Rosso di Montalcino DOC 201920	3.70	16.99	Rosso di Montalcino
Fidora Valpolicella Ripasso DOC Classico Superiore 2015	4.00	16.99	Valpolicella Ripasso
Antica Vigna Amarone della Valpolicella DOCG 201920	4.00	17.99	Amarone della Valpolicella
Grattamacco Organic Bolgheri Rosso DOC 201920	3.90	17.99	Bolgheri
Definition Barolo DOCG 201718	4.20	18.99	Barolo
Cantina Negrar Vigneti di Roccolo Amarone della Valpolicella 201819	4.20	21.99	Amarone della Valpolicella Classico
Ciabot Berton Barolo DOCG 201718	4.00	24.99	Barolo
Tenuta dellOrnellaia Le Volte 202021 Tuscany	3.90	24.99	Toscana
Villa Antinori Chianti Classico Riserva 201920	4.00	24.99	Chianti Classico
Roberto Sarotto Barbaresco Riserva Curr 201617	3.80	25.99	Barbaresco
Piccini Brunello di Montalcino DOCG 2018	4.10	27.99	Brunello di Montalcino
Marcarini Barolo del Comune di La Morra 201718 Italy	4.00	28.99	Barolo
Agostina Pieri Brunello di Montalcino DOCG 201718	4.20	28.99	Brunello di Montalcino
Tenuta Ghiaccio Forte Ripaforte Maremma Italy	3.80	29.99	Maremma Toscana
Tommasi Il Sestante Amarone della Valpolicella DOCG 201718	4.30	34.99	Amarone della Valpolicella
La Serena Brunello di Montalcino 201617	4.20	39.99	Brunello di Montalcino
